EDMSDUTIL3

Entry                     RecordName                Record Status    Section TimeTo Data   Data                                                               
                                                    Type                     Live   Length                                                                    
-----                     ----------                ------ ------    ------- ------ ------ ----                                                               
edmsrdsp3                 EDMSRDSP3.sterling.ste... A      Success   Answer    1061      4 192.168.5.224                                                      
edmsrdsp4                 EDMSRDSP4.sterling.ste... A      Success   Answer    1031      4 192.168.5.225                                                      
edmsveeamp1               EDMSVEEAMP1.sterling.s... A      Success   Answer    1090      4 192.168.5.197                                                      
edmsveeamp1               EDMSVEEAMP1.sterling.s... A      Success   Answer    1090      4 192.168.100.45                                                     
edmsveeamp1               EDMSVEEAMP1.sterling.s... A      Success   Answer    1090      4 192.168.9.55                                                       
edmsjfat2.sterling.ste... EDMSJFAT2.sterling.ste... A      Success   Answer    1010      4 192.168.5.26                                                       
edmsjfat2.sterling.ste... EDMSJFAT2.sterling.ste... A      Success   Answer    1010      4 192.168.5.26                                                       
edmswebp1                 EDMSWEBP1.sterling.ste... A      Success   Answer    1027      4 192.168.5.163                                                      
edmsopdgp2                EDMSOPDGP2.sterling.st... A      Success   Answer    1061      4 192.168.5.220                                                      
edmsprinters              EDMSPRINTERS.sterling.... A      Success   Answer    1061      4 192.168.5.25                                                       
gbl.his.arc.azure.com     gbl.his.arc.azure.com     CNAME  Success   Answer      11      8 gbl.privatelink.his.arc.azure.com                                  
gbl.his.arc.azure.com     gbl.privatelink.his.ar... CNAME  Success   Answer      11      8 gbl.his.hybridcompute.trafficmanager.net                           
gbl.his.arc.azure.com     gbl.his.hybridcompute.... A      Success   Answer      11      4 40.64.132.84                                                       
edmsprcp1                 EDMSPRCP1.sterling.ste... A      Success   Answer    1027      4 192.168.5.8                                                        
edmsiis                   EDMSIIS.sterling.sterl... A      Success   Answer    1049      4 192.168.5.195                                                      
edmsodbd1                 EDMSODBD1.sterling.ste... A      Success   Answer    1049      4 192.168.5.164                                                      
edmsutilp1                EDMSUTILP1.sterling.st... A      Success   Answer    1061      4 192.168.5.55                                                       
edmswin10dev.sterling.... EDMSWIN10DEV.sterling.... A      Success   Answer    1011      4 192.168.5.179                                                      
edmswin10dev.sterling.... EDMSWIN10DEV.sterling.... A      Success   Answer    1011      4 192.168.5.179                                                      




Source        Destination     IPV4Address      IPV6Address                              Bytes    Time(ms) 
------        -----------     -----------      -----------                              -----    -------- 
EDMSDUTIL3    relay.sterli... 192.168.5.250                                             32       0        
EDMSDUTIL3    relay.sterli... 192.168.5.250                                             32       0        
EDMSDUTIL3    relay.sterli... 192.168.5.250                                             32       0        
EDMSDUTIL3    relay.sterli... 192.168.5.250                                             32       0        




Entry                     RecordName                Record Status    Section TimeTo Data   Data                                                               
                                                    Type                     Live   Length                                                                    
-----                     ----------                ------ ------    ------- ------ ------ ----                                                               
relay.sterlingcrane.com   relay.sterlingcrane.com   A      Success   Answer    3597      4 192.168.5.250                                                      



